Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
STAR DECORATION RUSTIC,1,92,924.42,1,4,3,143,Inactive product or newly launched
STAR PORTABLE TABLE LIGHT ,88,31,750.7,4,3,3,433,Potential products
STAR T-LIGHT HOLDER WILLIE WINKIE,1,99,1870.1099999999997,1,4,4,144,Inactive product or newly launched
STAR WOODEN CHRISTMAS DECORATION,1,155,2036.56,1,4,4,144,Inactive product or newly launched
STAR WREATH DECORATION WITH BELL,1,124,1921.94,1,4,4,144,Inactive product or newly launched
STARFISH SOAP DISH,2,13,115.25,1,2,2,122,Inactive product or newly launched
STARS GIFT TAPE ,2,93,581.0600000000001,1,4,3,143,Inactive product or newly launched
STEEL SWEETHEART ROUND TABLE CREAM,51,18,463.45,4,2,3,423,Inactive product or newly launched
STOOL HOME SWEET HOME ,2,107,2635.9,1,4,4,144,Inactive product or newly launched
STOP FOR TEA WALL ART,6,41,2572.7,3,3,4,334,Potential products
STORAGE TIN HOME SWEET HOME,1,35,435.43,1,3,3,133,Inactive product or newly launched
STORAGE TIN VINTAGE DOILEY ,122,1,17.34,4,1,1,411,Inactive product or newly launched
STORAGE TIN VINTAGE DOILY ,1,160,3502.15,1,5,5,155,Inactive product or newly launched
STORAGE TIN VINTAGE LEAF,1,100,1948.1000000000001,1,4,4,144,Inactive product or newly launched
STRAWBERRIES  DESIGN FLANNEL ,3,30,190.79,2,3,2,232,Potential products
STRAWBERRY   PICNIC BAG,6,207,4430.5,3,5,5,355,Selling consistently
STRAWBERRY BATH SPONGE ,1,128,1301.86,1,4,4,144,Inactive product or newly launched
STRAWBERRY CERAMIC TRINKET BOX,9,511,10883.02,3,5,5,355,Selling consistently
STRAWBERRY CERAMIC TRINKET POT,1,76,1312.04,1,4,4,144,Inactive product or newly launched
STRAWBERRY CHARLOTTE BAG,3,496,5516.7,2,5,5,255,Potential products
STRAWBERRY DREAM CHILDS UMBRELLA,141,32,250.25,5,3,2,532,Potential products
STRAWBERRY FAIRY CAKE TEAPOT,5,164,3638.9,3,5,5,355,Selling consistently
STRAWBERRY HONEYCOMB  GARLAND ,16,77,1446.6,3,4,4,344,Selling consistently
STRAWBERRY LUNCH BOX WITH CUTLERY,1,433,8721.89,1,5,5,155,Inactive product or newly launched
STRAWBERRY RAFFIA FOOD COVER,16,92,1695.15,3,4,4,344,Selling consistently
STRAWBERRY SHOPPER BAG,1,235,2453.38,1,5,4,154,Inactive product or newly launched
STRAWBRY SCENTED VOTIVE CANDLE,89,24,267.45,4,2,2,422,Inactive product or newly launched
"STRING OF 8 BUTTERFLIES,PINK",327,7,41.24999999999999,5,2,1,521,Inactive product or newly launched
STRING OF STARS CARD HOLDER,12,12,209.45000000000005,3,2,2,322,Inactive product or newly launched
STRIPES DESIGN MONKEY DOLL,94,14,79.05,4,2,2,422,Inactive product or newly launched
STRIPES DESIGN TEDDY,12,30,142.79999999999998,3,3,2,332,Potential products
STRIPEY CHOCOLATE NESTING BOXES,11,40,707.95,3,3,3,333,Potential products
STRIPY DESIGN SHOWER CAP,227,15,70.57,5,2,2,522,Inactive product or newly launched
SUKI  SHOULDER BAG,2,205,2824.37,1,5,5,155,Inactive product or newly launched
SUMMER DAISIES BAG CHARM,4,11,168.29999999999998,2,2,2,222,Inactive product or newly launched
SUMMER FUN DESIGN SHOWER CAP,227,18,116.32999999999998,5,2,2,522,Inactive product or newly launched
SUNFLOWER DECORATIVE PARASOL,19,14,528.45,3,2,3,323,Inactive product or newly launched
SUNSET CHECK HAMMOCK,32,40,1249.65,4,3,4,434,Potential products
SUNSET COLOUR CHUNKY KNITTED THROW,5,13,406.79999999999995,3,2,3,323,Inactive product or newly launched
SWALLOW SQUARE TISSUE BOX,1,140,685.5500000000001,1,4,3,143,Inactive product or newly launched
SWALLOW WOODEN CHRISTMAS DECORATION,1,129,1217.78,1,4,4,144,Inactive product or newly launched
SWALLOWS GREETING CARD,1,243,2120.55,1,5,4,154,Inactive product or newly launched
SWEET HEART CAKE CARRIER,1,42,753.9999999999999,1,3,3,133,Inactive product or newly launched
SWEET PUDDING STICKER SHEET,11,15,55.24999999999999,3,2,1,321,Inactive product or newly launched
SWEETHEART 3 TIER CAKE STAND ,1,123,2174.1,1,4,4,144,Inactive product or newly launched
SWEETHEART BIRD HOUSE,2,89,2908.55,1,4,5,145,Inactive product or newly launched
SWEETHEART CAKESTAND 3 TIER,60,326,8366.65,4,5,5,455,MVP
SWEETHEART CARRY-ALL BASKET,260,3,25.5,5,1,1,511,Inactive product or newly launched
SWEETHEART CERAMIC TRINKET BOX,1,383,6864.610000000001,1,5,5,155,Inactive product or newly launched
SWEETHEART CREAM STEEL TABLE RECT,19,18,438.9,3,2,3,323,Inactive product or newly launched
SWEETHEART RECIPE BOOK STAND,1,290,7077.900000000001,1,5,5,155,Inactive product or newly launched
SWEETHEART WALL TIDY ,4,43,1007.0799999999999,2,3,4,234,Potential products
SWEETHEART WIRE FRUIT BOWL,4,79,1489.3,2,4,4,244,Potential products
SWEETHEART WIRE MAGAZINE RACK,1,157,2373.0,1,5,4,154,Inactive product or newly launched
SWEETHEART WIRE WALL TIDY,28,97,2046.85,4,4,4,444,MVP
SWEETIES  STICKERS,22,32,232.89999999999998,3,3,2,332,Potential products
SWIRLY CIRCULAR RUBBERS IN BAG,2,38,156.53,1,3,2,132,Inactive product or newly launched
SWISS CHALET TREE DECORATION ,16,70,455.56999999999994,3,4,3,343,Selling consistently
SWISS ROLL TOWEL PINK  SPOTS,15,27,1782.1799999999998,3,3,4,334,Potential products
"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1,51,1290.3,1,3,4,134,Inactive product or newly launched
"SWISS ROLL TOWEL, PINK  SPOTS",319,19,769.65,5,2,3,523,Inactive product or newly launched
T-LIGHT GLASS FLUTED ANTIQUE,1,261,8288.890000000001,1,5,5,155,Inactive product or newly launched
T-LIGHT HOLDER HANGING LACE,1,64,646.26,1,3,3,133,Inactive product or newly launched
T-LIGHT HOLDER HANGING LOVE BIRD,1,95,1965.63,1,4,4,144,Inactive product or newly launched
T-LIGHT HOLDER SILVER HEART HANDLE,5,23,370.79999999999995,3,2,3,323,Inactive product or newly launched
T-LIGHT HOLDER SILVER PETIT FOUR ,4,15,227.5,2,2,2,222,Inactive product or newly launched
T-LIGHT HOLDER SILVER SAUCER,4,6,38.029999999999994,2,1,1,211,Inactive product or newly launched
T-LIGHT HOLDER SWEETHEART HANGING,1,127,1574.6399999999999,1,4,4,144,Inactive product or newly launched
T-LIGHT HOLDER WHITE LACE,1,20,182.31,1,2,2,122,Inactive product or newly launched
TABLE LAMP WHITE SHADE WOOD BASE,4,17,388.3,2,2,3,223,Inactive product or newly launched
TABLECLOTH RED APPLES DESIGN ,1,110,2821.95,1,4,5,145,Inactive product or newly launched
TALL ROCOCO CANDLE HOLDER,4,17,720.0,2,2,3,223,Inactive product or newly launched
TEA BAG PLATE RED RETROSPOT,1,257,3221.79,1,5,5,155,Inactive product or newly launched
TEA COSY BLUE STRIPE,1,36,356.89,1,3,3,133,Inactive product or newly launched
TEA COSY RED  STRIPE,1,65,706.8299999999999,1,3,3,133,Inactive product or newly launched
TEA FOR ONE POLKADOT,2,104,1502.01,1,4,4,144,Inactive product or newly launched
TEA PARTY  WRAPPING PAPER ,2,75,929.0,1,4,3,143,Inactive product or newly launched
TEA PARTY BIRTHDAY CARD,1,263,1692.71,1,5,4,154,Inactive product or newly launched
TEA TIME BREAKFAST BASKET,369,1,2.1,5,1,1,511,Inactive product or newly launched
TEA TIME DES TEA COSY,1,76,813.6099999999999,1,4,3,143,Inactive product or newly launched
TEA TIME KITCHEN APRON,4,121,3248.07,2,4,5,245,Potential products
TEA TIME OVEN GLOVE,1,243,2412.92,1,5,4,154,Inactive product or newly launched
TEA TIME PARTY BUNTING,5,314,10430.400000000001,3,5,5,355,Selling consistently
TEA TIME TABLE CLOTH,255,26,1642.68,5,3,4,534,Potential products
TEA TIME TEA SET IN GIFT BOX,121,29,708.9000000000001,4,3,3,433,Potential products
TEA TIME TEA TOWELS ,235,2,6045.0,5,1,5,515,Inactive product or newly launched
TEA TIME TEAPOT IN GIFT BOX,1,80,1972.46,1,4,4,144,Inactive product or newly launched
TEAL/FUSCHIA COL BEAD NECKLACE,22,3,44.55,3,1,1,311,Inactive product or newly launched
TEATIME FUNKY FLOWER BACKPACK FOR 2,136,3,50.849999999999994,5,1,1,511,Inactive product or newly launched
TEATIME GEL PENS ASST,199,5,82.08,5,1,2,512,Inactive product or newly launched
TEATIME PEN CASE & PENS,12,14,54.4,3,2,1,321,Inactive product or newly launched
TEATIME PUSH DOWN RUBBER,183,6,105.28999999999999,5,1,2,512,Inactive product or newly launched
TEATIME ROUND PENCIL SHARPENER ,15,48,186.72,3,3,2,332,Potential products
THE KING GIFT BAG,88,6,11.05,4,1,1,411,Inactive product or newly launched
THE KING GIFT BAG 25x24x12cm,12,7,10.92,3,2,1,321,Inactive product or newly launched
THREE CANVAS LUGGAGE TAGS,4,10,128.26,2,2,2,222,Inactive product or newly launched
THREE MINI HANGING FRAMES,1,47,535.35,1,3,3,133,Inactive product or newly launched
TIGRIS EYE CHUNKY CHARM BRACELET,243,2,26.849999999999998,5,1,1,511,Inactive product or newly launched
TINY CRYSTAL BRACELET GREEN,309,1,15.299999999999999,5,1,1,511,Inactive product or newly launched
TOADSTOOL BEDSIDE LIGHT ,2,104,2180.7,1,4,4,144,Inactive product or newly launched
TOADSTOOL MONEY BOX,2,135,2140.15,1,4,4,144,Inactive product or newly launched
TOAST ITS - BEST MUM,9,68,885.95,3,3,3,333,Potential products
TOAST ITS - DINOSAUR,256,11,23.75,5,2,1,521,Inactive product or newly launched
TOAST ITS - FAIRY FLOWER,4,54,361.9,2,3,3,233,Potential products
TOAST ITS - HAPPY BIRTHDAY,3,59,408.75,2,3,3,233,Potential products
TOAST ITS - I LOVE YOU ,1,110,955.4,1,4,4,144,Inactive product or newly launched
TOILET METAL SIGN,1,303,1997.13,1,5,4,154,Inactive product or newly launched
TOILET SIGN OCCUPIED OR VACANT,1,258,2807.6899999999996,1,5,5,155,Inactive product or newly launched
TOMATO CHARLIE+LOLA COASTER SET,1,61,739.1899999999999,1,3,3,133,Inactive product or newly launched
TOOL BOX SOFT TOY ,1,82,1350.24,1,4,4,144,Inactive product or newly launched
TOOTHPASTE TUBE PEN,1,76,396.6,1,4,3,143,Inactive product or newly launched
TOP SECRET PEN SET,148,10,57.5,5,2,1,521,Inactive product or newly launched
TOTE BAG I LOVE LONDON,6,94,2289.78,3,4,4,344,Selling consistently
TOXIC AREA  DOOR HANGER ,1,139,695.23,1,4,3,143,Inactive product or newly launched
TOY TIDY DOLLY GIRL DESIGN,1,102,1178.18,1,4,4,144,Inactive product or newly launched
TOY TIDY PINK POLKADOT,4,293,6225.38,2,5,5,255,Potential products
TOY TIDY SPACEBOY  ,1,196,2266.35,1,5,4,154,Inactive product or newly launched
TOYBOX  WRAP ,9,23,288.92,3,2,2,322,Inactive product or newly launched
TRADITIONAL CHRISTMAS RIBBONS,1,271,3602.8,1,5,5,155,Inactive product or newly launched
TRADITIONAL KNITTING NANCY,1,519,9294.57,1,5,5,155,Inactive product or newly launched
TRADITIONAL MODELLING CLAY,1,336,9281.47,1,5,5,155,Inactive product or newly launched
TRADITIONAL NAUGHTS & CROSSES,1,221,3300.8999999999996,1,5,5,155,Inactive product or newly launched
TRADITIONAL PICK UP STICKS GAME ,1,241,2295.0,1,5,4,154,Inactive product or newly launched
TRADITIONAL WOODEN CATCH CUP GAME ,3,301,3651.75,2,5,5,255,Potential products
TRADITIONAL WOODEN SKIPPING ROPE,1,346,9998.32,1,5,5,155,Inactive product or newly launched
TRADTIONAL ALPHABET STAMP SET,1,178,4497.3,1,5,5,155,Inactive product or newly launched
TRANQUILITY MASALA INCENSE,87,7,42.0,4,2,1,421,Inactive product or newly launched
TRANSPARENT ACRYLIC TAPE DISPENSER,9,9,27.91,3,2,1,321,Inactive product or newly launched
TRAVEL CARD WALLET FLOWER MEADOW,3,130,709.62,2,4,3,243,Potential products
TRAVEL CARD WALLET I LOVE LONDON,1,178,1767.72,1,5,4,154,Inactive product or newly launched
TRAVEL CARD WALLET KEEP CALM,1,440,4641.32,1,5,5,155,Inactive product or newly launched
TRAVEL CARD WALLET PANTRY,1,126,779.9,1,4,3,143,Inactive product or newly launched
TRAVEL CARD WALLET RETRO PETALS,169,91,623.94,5,4,3,543,Selling consistently
TRAVEL CARD WALLET RETROSPOT,1,161,882.24,1,5,3,153,Inactive product or newly launched
TRAVEL CARD WALLET SKULLS,1,142,860.4,1,4,3,143,Inactive product or newly launched
TRAVEL CARD WALLET SUKI,1,185,932.88,1,5,4,154,Inactive product or newly launched
TRAVEL CARD WALLET TRANSPORT,1,206,1274.76,1,5,4,154,Inactive product or newly launched
TRAVEL CARD WALLET UNION JACK,3,182,1038.9,2,5,4,254,Potential products
TRAVEL CARD WALLET VINTAGE LEAF,1,97,554.4,1,4,3,143,Inactive product or newly launched
TRAVEL CARD WALLET VINTAGE ROSE ,181,53,225.78,5,3,2,532,Potential products
TRAVEL CARD WALLET VINTAGE TICKET,1,298,1875.12,1,5,4,154,Inactive product or newly launched
TRAVEL SEWING KIT,24,397,7779.11,4,5,5,455,MVP
"TRAY, BREAKFAST IN BED",96,66,3089.85,4,3,5,435,Potential products
TREASURE AHOY WALL ART,23,16,833.46,3,2,3,323,Inactive product or newly launched
TREASURE ISLAND BOOK BOX,4,217,5029.8,2,5,5,255,Potential products
TREASURE TIN BUFFALO BILL ,2,190,2886.0800000000004,1,5,5,155,Inactive product or newly launched
TREASURE TIN GYMKHANA DESIGN,2,287,4060.0,1,5,5,155,Inactive product or newly launched
TREE T-LIGHT HOLDER WILLIE WINKIE,1,35,522.7399999999999,1,3,3,133,Inactive product or newly launched
TRIANGULAR POUFFE VINTAGE ,2,16,605.4499999999999,1,2,3,123,Inactive product or newly launched
TRIPLE HOOK ANTIQUE IVORY ROSE,4,214,2526.02,2,5,4,254,Potential products
TRIPLE PHOTO FRAME CORNICE ,1,208,6932.83,1,5,5,155,Inactive product or newly launched
TRIPLE WIRE HOOK IVORY HEART,26,35,658.5400000000001,4,3,3,433,Potential products
TRIPLE WIRE HOOK PINK HEART,1,18,215.00000000000003,1,2,2,122,Inactive product or newly launched
TROPICAL  HONEYCOMB PAPER GARLAND ,5,75,2672.25,3,4,4,344,Selling consistently
TROPICAL HOLIDAY PURSE ,353,3,17.700000000000003,5,1,1,511,Inactive product or newly launched
TROPICAL LUGGAGE TAG,33,22,76.39,4,2,2,422,Inactive product or newly launched
TROPICAL PASSPORT COVER ,11,22,206.23000000000002,3,2,2,322,Inactive product or newly launched
TUB 24 PINK FLOWER PEGS,121,43,169.95,4,3,2,432,Potential products
TUMBLER BAROQUE,29,25,156.78,4,2,2,422,Inactive product or newly launched
TUMBLER NEW ENGLAND,191,41,475.8,5,3,3,533,Potential products
"TUMBLER, BAROQUE",253,5,58.85999999999999,5,1,1,511,Inactive product or newly launched
"TUMBLER, NEW ENGLAND",243,11,131.94,5,2,2,522,Inactive product or newly launched
TURQ ICE CREAM BUM BAG ,317,3,33.15,5,1,1,511,Inactive product or newly launched
TURQ PENDANT TRIPLE SHELL NECKLACE,145,2,19.8,5,1,1,511,Inactive product or newly launched
TURQ STONE/CRYSTAL EARRINGS,11,3,26.55,3,1,1,311,Inactive product or newly launched
TURQ+RED BOUDICCA LARGE BRACELET,22,16,284.95000000000005,3,2,2,322,Inactive product or newly launched
TURQUOISE BERTIE GLASS BEAD CHARM,197,3,63.3,5,1,1,511,Inactive product or newly launched
TURQUOISE CHRISTMAS TREE ,20,4,6.25,3,1,1,311,Inactive product or newly launched
TURQUOISE CRYSTAL+GLASS BRACELET,62,5,84.15,4,1,2,412,Inactive product or newly launched
TURQUOISE GLASS TASSLE BAG CHARM ,2,6,61.95000000000001,1,1,1,111,Inactive product or newly launched
TURQUOISE HEART OF GLASS BRACELET,130,4,47.6,4,1,1,411,Inactive product or newly launched
TUSCAN VILLA BIRD FEEDER,15,8,132.0,3,2,2,322,Inactive product or newly launched
TUSCAN VILLA BIRD TABLE ,16,11,156.75,3,2,2,322,Inactive product or newly launched
TUSCAN VILLA DOVECOTE,50,4,99.0,4,1,2,412,Inactive product or newly launched
TUSCAN VILLA DOVECOTE BIRD FEEDER,2,17,299.25,1,2,2,122,Inactive product or newly launched
TUSCAN VILLA FEEDING STATION,44,7,99.0,4,2,2,422,Inactive product or newly launched
TV DINNER TRAY AIR HOSTESS ,2,64,1092.73,1,3,4,134,Inactive product or newly launched
TV DINNER TRAY DOLLY GIRL,1,80,1224.17,1,4,4,144,Inactive product or newly launched
TV DINNER TRAY VINTAGE PAISLEY,1,79,1239.39,1,4,4,144,Inactive product or newly launched
TWO DOOR CURIO CABINET,84,82,2551.95,4,4,4,444,MVP
UBO-LIGHT TRIOBASE BLUE,4,2,3.4,2,1,1,211,Inactive product or newly launched
UBO-LIGHT TRIOBASE PURPLE,36,3,4.25,4,1,1,411,Inactive product or newly launched
UNION FLAG WINDSOCK,264,20,421.97,5,2,3,523,Inactive product or newly launched
UNION JACK FLAG LUGGAGE TAG,2,107,666.71,1,4,3,143,Inactive product or newly launched
UNION JACK FLAG PASSPORT COVER ,2,98,1190.3400000000001,1,4,4,144,Inactive product or newly launched
UNION JACK HOT WATER BOTTLE ,16,1,23.8,3,1,1,311,Inactive product or newly launched
UNION STRIPE CUSHION COVER ,3,66,503.75,2,3,3,233,Potential products
UNION STRIPE WITH FRINGE  HAMMOCK,4,168,5674.14,2,5,5,255,Potential products
URBAN BLACK RIBBONS ,4,76,519.22,2,4,3,243,Potential products
UTILTY CABINET WITH HOOKS,327,6,2610.29,5,1,4,514,Inactive product or newly launched
VANILLA INCENSE 40 CONES IN TIN,152,13,36.25,5,2,1,521,Inactive product or newly launched
VANILLA INCENSE IN TIN,1,91,876.34,1,4,3,143,Inactive product or newly launched
VANILLA SCENT CANDLE JEWELLED BOX,35,90,2541.12,4,4,4,444,MVP
VEGETABLE GARDEN CHOPPING BOARD,4,17,317.70000000000005,2,2,2,222,Inactive product or newly launched
VEGETABLE MAGNETIC  SHOPPING LIST,134,3,49.8,5,1,1,511,Inactive product or newly launched
VICTORIAN  METAL POSTCARD SPRING,2,167,2973.55,1,5,5,155,Inactive product or newly launched
VICTORIAN GLASS HANGING T-LIGHT,1,819,28735.36,1,5,5,155,Inactive product or newly launched
VICTORIAN SEWING BOX LARGE,1,106,5014.23,1,4,5,145,Inactive product or newly launched
VICTORIAN SEWING BOX MEDIUM,1,153,3727.44,1,4,5,145,Inactive product or newly launched
VICTORIAN SEWING BOX SMALL ,2,237,6402.360000000001,1,5,5,155,Inactive product or newly launched
VICTORIAN SEWING KIT,4,99,2640.94,2,4,4,244,Potential products
VILLAGE SHOW WALL ART,23,18,2072.42,3,2,4,324,Inactive product or newly launched
VINTAGE  2 METER FOLDING RULER,32,157,2902.47,4,5,5,455,MVP
VINTAGE  2 METRE FOLDING RULER,1,129,2197.6899999999996,1,4,4,144,Inactive product or newly launched
VINTAGE BEAD COSMETIC BAG ,30,7,51.82,4,2,1,421,Inactive product or newly launched
VINTAGE BEAD NOTEBOOK,121,17,138.65,4,2,2,422,Inactive product or newly launched
VINTAGE BEAD PINK EVENING BAG,9,46,668.88,3,3,3,333,Potential products
VINTAGE BEAD PINK JEWEL BOX,50,3,17.0,4,1,1,411,Inactive product or newly launched
VINTAGE BEAD PINK JEWEL STAND,131,1,4.95,4,1,1,411,Inactive product or newly launched
VINTAGE BEAD PINK PURSE ,1,63,774.76,1,3,3,133,Inactive product or newly launched
VINTAGE BEAD PINK SCARF ,29,34,557.0999999999999,4,3,3,433,Potential products
VINTAGE BEAD PINK SHADE ,274,2,16.25,5,1,1,511,Inactive product or newly launched
VINTAGE BELLS GARLAND,1,133,2246.56,1,4,4,144,Inactive product or newly launched
VINTAGE BILLBOARD DRINK ME MUG,51,109,1020.98,4,4,4,444,MVP
VINTAGE BILLBOARD LOVE/HATE MUG,1,126,1637.71,1,4,4,144,Inactive product or newly launched
VINTAGE BILLBOARD MUG ,4,78,1058.54,2,4,4,244,Potential products
VINTAGE BILLBOARD TEA MUG,114,51,2047.8000000000002,4,3,4,434,Potential products
VINTAGE BLUE KITCHEN CABINET,58,20,3685.0,4,2,5,425,Inactive product or newly launched
VINTAGE BLUE TINSEL REEL,372,1,0.84,5,1,1,511,Inactive product or newly launched
VINTAGE CARAVAN GIFT WRAP,151,23,239.82,5,2,2,522,Inactive product or newly launched
VINTAGE CARAVAN GREETING CARD ,53,87,569.02,4,4,3,443,Selling consistently
VINTAGE CHRISTMAS BUNTING,1,366,12960.12,1,5,5,155,Inactive product or newly launched
VINTAGE CHRISTMAS CAKE FRILL,1,123,3879.45,1,4,5,145,Inactive product or newly launched
VINTAGE CHRISTMAS GIFT BAG LARGE ,5,83,2066.65,3,4,4,344,Selling consistently
VINTAGE CHRISTMAS GIFT SACK,3,197,5523.0,2,5,5,255,Potential products
VINTAGE CHRISTMAS PAPER GIFT BAG,5,88,1241.6599999999999,3,4,4,344,Selling consistently
VINTAGE CHRISTMAS STOCKING ,2,284,5564.25,1,5,5,155,Inactive product or newly launched
VINTAGE CHRISTMAS TABLECLOTH,1,105,4638.52,1,4,5,145,Inactive product or newly launched
VINTAGE COFFEE GRINDER BOX,50,23,485.70000000000005,4,2,3,423,Inactive product or newly launched
VINTAGE CREAM 3 BASKET CAKE STAND,1,135,3667.2299999999996,1,4,5,145,Inactive product or newly launched
VINTAGE CREAM CAT FOOD CONTAINER,1,236,4201.74,1,5,5,155,Inactive product or newly launched
VINTAGE CREAM DOG FOOD CONTAINER,1,293,6753.85,1,5,5,155,Inactive product or newly launched
VINTAGE DOILY DELUXE SEWING KIT ,1,177,4194.900000000001,1,5,5,155,Inactive product or newly launched
VINTAGE DOILY JUMBO BAG RED ,1,237,8508.220000000001,1,5,5,155,Inactive product or newly launched
VINTAGE DOILY TRAVEL SEWING KIT,1,358,6736.2,1,5,5,155,Inactive product or newly launched
VINTAGE DONKEY TAIL GAME ,1,215,6146.89,1,5,5,155,Inactive product or newly launched
VINTAGE EMBOSSED HEART,3,84,1102.46,2,4,4,244,Potential products
VINTAGE ENAMEL & CRYSTAL EARRINGS,2,4,64.35000000000001,1,1,1,111,Inactive product or newly launched
VINTAGE ENAMEL & CRYSTAL NECKLACE,61,2,24.75,4,1,1,411,Inactive product or newly launched
VINTAGE ENGRAVED HEART,184,4,75.0,5,1,2,512,Inactive product or newly launched
VINTAGE GLASS COFFEE CADDY,116,16,416.3,4,2,3,423,Inactive product or newly launched
VINTAGE GLASS T-LIGHT HOLDER,2,125,1722.79,1,4,4,144,Inactive product or newly launched
VINTAGE GLASS TEA CADDY,290,3,17.85,5,1,1,511,Inactive product or newly launched
VINTAGE HEADS AND TAILS CARD GAME ,1,489,8500.16,1,5,5,155,Inactive product or newly launched
VINTAGE JINGLE BELLS HEART,2,77,1864.5,1,4,4,144,Inactive product or newly launched
VINTAGE JINGLE BELLS WREATH,5,26,610.5,3,3,3,333,Potential products
VINTAGE KEEPSAKE BOX PARIS DAYS,129,6,190.35,4,1,2,412,Inactive product or newly launched
VINTAGE KEEPSAKE BOX PINK FLOWER,25,2,19.049999999999997,4,1,1,411,Inactive product or newly launched
VINTAGE KEEPSAKE BOX TRAVELOGUE,47,10,127.0,4,2,2,422,Inactive product or newly launched
VINTAGE KID DOLLY CARD ,2,145,966.07,1,4,4,144,Inactive product or newly launched
VINTAGE KITCHEN PRINT FRUITS,5,12,165.75,3,2,2,322,Inactive product or newly launched
VINTAGE KITCHEN PRINT PUDDINGS,147,7,79.05,5,2,2,522,Inactive product or newly launched
VINTAGE KITCHEN PRINT SEAFOOD,30,6,89.24999999999999,4,1,2,412,Inactive product or newly launched
VINTAGE KITCHEN PRINT VEGETABLES,30,12,165.75,4,2,2,422,Inactive product or newly launched
VINTAGE LEAF CHOPPING BOARD  ,3,41,684.0000000000001,2,3,3,233,Potential products
VINTAGE LEAF MAGNETIC NOTEPAD,1,215,2242.65,1,5,4,154,Inactive product or newly launched
VINTAGE NOTEBOOK BEAUTY GIRL,250,2,8.850000000000001,5,1,1,511,Inactive product or newly launched
VINTAGE NOTEBOOK PARIS DAYS,127,8,230.35,4,2,2,422,Inactive product or newly launched
VINTAGE NOTEBOOK TRAVELOGUE,47,5,73.75,4,1,2,412,Inactive product or newly launched
VINTAGE PAISLEY STATIONERY SET,24,205,1640.29,4,5,4,454,MVP
VINTAGE PHOTO ALBUM PARIS DAYS,359,3,50.8,5,1,1,511,Inactive product or newly launched
VINTAGE PINK DECORATIVE PARASOL,339,5,237.00000000000003,5,1,2,512,Inactive product or newly launched
VINTAGE POST OFFICE CABINET,367,2,607.6500000000001,5,1,3,513,Inactive product or newly launched
VINTAGE RED ENAMEL TRIM JUG ,1,123,2123.34,1,4,4,144,Inactive product or newly launched
VINTAGE RED ENAMEL TRIM MUG ,1,101,1940.45,1,4,4,144,Inactive product or newly launched
VINTAGE RED ENAMEL TRIM PLATE,2,67,1254.8999999999999,1,3,4,134,Inactive product or newly launched
VINTAGE RED KITCHEN CABINET,38,38,8125.0,4,3,5,435,Potential products
VINTAGE RED MUG,9,41,656.37,3,3,3,333,Potential products
VINTAGE RED TEATIME MUG,66,42,246.88,4,3,2,432,Potential products
VINTAGE RED TRIM ENAMEL BOWL ,1,87,1328.59,1,4,4,144,Inactive product or newly launched
VINTAGE ROSE BEAD BRACELET BLACK,6,11,127.5,3,2,2,322,Inactive product or newly launched
VINTAGE ROSE BEAD BRACELET RASPBERR,22,10,144.5,3,2,2,322,Inactive product or newly launched
VINTAGE SEASIDE JIGSAW PUZZLES,2,89,1142.53,1,4,4,144,Inactive product or newly launched
VINTAGE SHELLS PRINT,24,14,202.4,4,2,2,422,Inactive product or newly launched
VINTAGE SNAKES & LADDERS,1,268,5508.53,1,5,5,155,Inactive product or newly launched
VINTAGE SNAP CARDS,1,731,10441.47,1,5,5,155,Inactive product or newly launched
VINTAGE UNION JACK APRON,2,114,2112.3900000000003,1,4,4,144,Inactive product or newly launched
VINTAGE UNION JACK BUNTING,3,400,20945.16,2,5,5,255,Potential products
VINTAGE UNION JACK CUSHION COVER,2,92,1755.3000000000002,1,4,4,144,Inactive product or newly launched
VINTAGE UNION JACK DOORSTOP,5,84,1184.8500000000001,3,4,4,344,Selling consistently
VINTAGE UNION JACK MEMOBOARD,1,205,22679.28,1,5,5,155,Inactive product or newly launched
VINTAGE UNION JACK PENNANT,18,75,1444.95,3,4,4,344,Selling consistently
VINTAGE UNION JACK SHOPPING BAG,15,41,1016.85,3,3,4,334,Potential products
VINTAGE WOODEN BAR STOOL,156,4,169.75,5,1,2,512,Inactive product or newly launched
VINTAGE ZINC PLANTER  ,3,5,75.67,2,1,2,212,Inactive product or newly launched
VINTAGE ZINC WATERING CAN,1,7,119.39999999999999,1,2,2,122,Inactive product or newly launched
VINTAGE ZINC WATERING CAN SMALL,1,6,79.2,1,1,2,112,Inactive product or newly launched
VINYL RECORD FRAME SILVER,19,87,4275.22,3,4,5,345,Selling consistently
VIP HOLIDAY PURSE,24,6,29.28,4,1,1,411,Inactive product or newly launched
VIP PASSPORT COVER ,12,11,73.5,3,2,2,322,Inactive product or newly launched
VIPPASSPORT COVER ,171,21,164.58,5,2,2,522,Inactive product or newly launched
WAKE UP COCKEREL CALENDAR SIGN ,7,24,281.13,3,2,2,322,Inactive product or newly launched
WAKE UP COCKEREL TILE COASTER,9,31,198.08999999999997,3,3,2,332,Potential products
WAKE UP COCKEREL TILE HOOK,122,14,53.85,4,2,1,421,Inactive product or newly launched
